num_qubits,function_type,num_x_gate,num_h_gate,num_cnot_gate,num_total_gate,real_time,sim_time,real_result,sim_result,backand_name,trials,realtimepertrials,simtimepertrials,hamming_dis
11,1,17,23,4,44,25.61620069,0.00416708,00001000010,00100010011,ibmq_16_melbourne,8192,0.003126978,5.086767487e-07,4
11,1,9,23,8,40,25.9583354,0.004297018,00000011001,11010011111,ibmq_16_melbourne,8192,0.003168742,5.245383363e-07,5
11,1,9,23,3,35,25.30411434,0.002838612,00010000101,00010000101,ibmq_16_melbourne,8192,0.003088881,3.465102054e-07,0
11,1,9,23,6,38,25.90075922,0.003441572,00001010010,11001010011,ibmq_16_melbourne,8192,0.0031617140000000004,4.201137926e-07,3
11,0,1,23,0,24,25.62177801,0.00365448,00000000000,00000000000,ibmq_16_melbourne,8192,0.0031276579999999997,4.461035132e-07,0
11,0,2,23,0,25,25.31949186,0.002243042,00000000000,00000000000,ibmq_16_melbourne,8192,0.003090758,2.738088369e-07,0
10,1,11,21,8,40,25.14173698,0.002565145,0000001000,1110011111,ibmq_16_melbourne,8192,0.00306906,3.131281119e-07,7
10,1,11,21,6,38,25.11530638,0.002507687,0101000101,1101000111,ibmq_16_melbourne,8192,0.003065833,3.061140887e-07,2
10,1,11,21,7,39,25.57286143,0.0027208329999999998,0000001000,1011100111,ibmq_16_melbourne,8192,0.003121687,3.321329132e-07,8
10,1,13,21,4,38,25.25509667,0.00242734,0101000010,0101000110,ibmq_16_melbourne,8192,0.0030828979999999997,2.963060979e-07,1
10,1,13,21,1,35,25.05909181,0.002778292,0000010000,0000010000,ibmq_16_melbourne,8192,0.0030589709999999997,3.391469363e-07,0
10,1,13,21,5,39,25.15145588,0.002500534,0110010010,0110010110,ibmq_16_melbourne,8192,0.0030702459999999996,3.052409738e-07,1
10,1,13,21,6,40,25.5258441,0.0035660270000000003,1100110000,1100111010,ibmq_16_melbourne,8192,0.003115948,4.353059921e-07,2
10,1,13,21,5,39,25.6392889,0.002479076,0000000010,1100010011,ibmq_16_melbourne,8192,0.003129796,3.026216291e-07,4
10,1,13,21,3,37,24.92574096,0.002348185,0001010100,0001010100,ibmq_16_melbourne,8192,0.003042693,2.866436262e-07,0
10,0,1,21,0,22,24.69483137,0.001949072,0000000000,0000000000,ibmq_16_melbourne,8192,0.0030145059999999997,2.37923814e-07,0
10,0,2,21,0,23,24.95687222,0.002588034,0000000000,0000000000,ibmq_16_melbourne,8192,0.003046493,3.159220796e-07,0
9,1,9,19,4,32,14.59755325,0.002430677,000001110,000101110,ibmq_16_melbourne,4096,0.003563856,5.93427103e-07,1
9,1,9,19,5,33,15.22230148,0.0032136440000000003,000001001,010011011,ibmq_16_melbourne,4096,0.0037163820000000003,7.845810615e-07,3
9,1,9,19,4,32,14.74015164,0.002991438,000000000,110000011,ibmq_16_melbourne,4096,0.00359867,7.303315215e-07,4
9,1,11,19,4,34,14.66661763,0.002454519,000000000,010010101,ibmq_16_melbourne,4096,0.003580717,5.992478691e-07,4
9,1,11,19,4,34,14.69451499,0.002467632,000110100,000110101,ibmq_16_melbourne,4096,0.003587528,6.024492905e-07,1
9,1,11,19,5,35,14.57816052,0.002384424,010101100,101001101,ibmq_16_melbourne,4096,0.0035591209999999997,5.821348168e-07,5
9,1,13,19,5,37,14.82680941,0.0026426320000000002,010010100,010011011,ibmq_16_melbourne,4096,0.003619827,6.451737136e-07,4
9,1,13,19,2,34,14.701824900000002,0.002426624,100000000,101000000,ibmq_16_melbourne,4096,0.003589313,5.924375728e-07,1
9,1,13,19,4,36,14.85227442,0.002435207,110001000,110001001,ibmq_16_melbourne,4096,0.003626044,5.945330486e-07,1
9,0,1,19,0,20,14.82871056,0.0035495759999999996,000000000,000000000,ibmq_16_melbourne,4096,0.003620291,8.665956557e-07,0
9,0,2,19,0,21,14.58227921,0.0018706320000000001,000000000,000000000,ibmq_16_melbourne,4096,0.003560127,4.566973075e-07,0
8,1,1,17,4,22,9.43818593,0.0019736289999999997,00000000,10100110,ibmq_16_melbourne,2048,0.004608489,9.636860341e-07,4
8,1,1,17,4,22,9.34189105,0.0018646720000000002,10000000,11101000,ibmq_16_melbourne,2048,0.00456147,9.10484232e-07,3
8,1,1,17,4,22,9.381574153999999,0.002019882,00100010,00101011,ibmq_16_melbourne,2048,0.004580847,9.862706065e-07,2
8,1,11,17,4,32,9.186139822000001,0.002138853,00110100,00111100,ibmq_16_melbourne,2048,0.00448542,1.0443618521e-06,1
8,1,11,17,4,32,9.229355574,0.002200365,11100001,11100001,ibmq_16_melbourne,2048,0.0045065209999999994,1.0743970051e-06,0
8,1,11,17,3,31,9.262179136,0.00221014,10000110,10000110,ibmq_16_melbourne,2048,0.0045225479999999995,1.0791700333e-06,0
8,1,7,17,6,30,9.669518232,0.00259614,10011101,10111101,ibmq_16_melbourne,2048,0.004721444,1.2676464394e-06,1
8,1,7,17,5,29,9.540645838,0.002123356,01010011,01011011,ibmq_16_melbourne,2048,0.0046585179999999995,1.0367948562e-06,1
8,1,7,17,4,28,9.296272992999999,0.002182007,00101000,10101100,ibmq_16_melbourne,2048,0.004539196,1.0654330254e-06,2
8,0,1,17,0,18,9.165805577999999,0.001793146,00000000,00000000,ibmq_16_melbourne,2048,0.004475491,8.755596355e-07,0
8,0,2,17,0,19,8.990316629,0.001787424,00000000,00000000,ibmq_16_melbourne,2048,0.004389803,8.727656677e-07,0
7,1,9,15,3,27,6.530067444,0.002384663,1001001,1001001,ibmq_16_melbourne,1024,0.006377019,2.3287720978e-06,0
7,1,9,15,6,30,6.870571612999999,0.002110243,0111101,0111111,ibmq_16_melbourne,1024,0.006709543,2.060784027e-06,1
7,1,9,15,2,26,7.009536743,0.001984835,0001000,0001100,ibmq_16_melbourne,1024,0.006845251,1.9383151084e-06,1
7,1,11,15,2,28,6.435515165,0.002028704,1000000,1100000,ibmq_16_melbourne,1024,0.006284683,1.9811559469e-06,1
7,1,11,15,4,30,6.954984903,0.0021395679999999997,0100001,1101001,ibmq_16_melbourne,1024,0.006791976999999999,2.0894221961e-06,2
7,1,11,15,7,33,6.783355713,0.0022246839999999998,1100000,1111111,ibmq_16_melbourne,1024,0.0066243709999999996,2.1725427359e-06,5
7,1,7,15,3,25,6.318787812999999,0.002064466,0101010,0101010,ibmq_16_melbourne,1024,0.006170691,2.0160805434e-06,0
7,1,7,15,5,27,6.661364317,0.002281189,1000010,1001111,ibmq_16_melbourne,1024,0.006505239,2.2277235985e-06,3
7,1,7,15,2,24,7.023640156,0.002019405,1000000,1100000,ibmq_16_melbourne,1024,0.006859024,1.9720755517e-06,1
7,0,1,15,0,16,6.439696789,0.001651525,0000000,0000000,ibmq_16_melbourne,1024,0.0062887659999999995,1.6128178686e-06,0
7,0,2,15,0,17,6.633119345,0.0016322139999999999,0000000,0000000,ibmq_16_melbourne,1024,0.006477656,1.5939585865e-06,0
6,1,9,13,5,27,6.728772402000001,0.003435612,000000,110111,ibmq_16_melbourne,1024,0.006571067,3.3550895751e-06,5
6,1,9,13,4,26,6.612410307,0.001968622,001010,011110,ibmq_16_melbourne,1024,0.006457432,1.9224826247e-06,2
6,1,9,13,3,25,6.7073287960000005,0.002202749,110001,110001,ibmq_16_melbourne,1024,0.006550126,2.1511223167e-06,0
6,1,7,13,5,25,6.291696072000001,0.00219059,110000,110111,ibmq_16_melbourne,1024,0.006144234,2.1392479539e-06,3
6,1,7,13,3,23,6.584960699,0.002103806,000111,000111,ibmq_16_melbourne,1024,0.006430626,2.0544975996e-06,0
6,1,7,13,2,22,6.67402935,0.002045393,010000,011000,ibmq_16_melbourne,1024,0.006517607,1.9974540919e-06,1
6,1,5,13,2,20,6.6636178489999995,0.001726151,100000,110000,ibmq_16_melbourne,1024,0.006507439,1.6856938601e-06,1
