num_qubits,num_x_gate,num_h_gate,num_i_gate,num_cnot_gate,num_total_gate,real_time,sim_time,answer,real_result,sim_result,backand_name,trials,pertrialtime,hamming_dis
10,1,21,6,4,32,25.32660246,0.002140522,0101101000,0101101000,0101101000,ibmq_16_melbourne,8192,0.0030916259999999997,0
10,1,21,8,2,32,24.84120035,0.002174854,0010000010,0010000000,0010000010,ibmq_16_melbourne,8192,0.003032373,1
10,1,21,3,7,32,25.68828511,0.0021693710000000002,0101101111,0100000000,0101101111,ibmq_16_melbourne,8192,0.003135777,6
10,1,21,3,7,32,25.03980017,0.00287199,1001111011,0001101100,1001111011,ibmq_16_melbourne,8192,0.003056616,5
10,1,21,4,6,32,25.79541636,0.0021457670000000002,1110011001,1110000001,1110011001,ibmq_16_melbourne,8192,0.003148855,2
10,1,21,3,7,32,25.2945559,0.0021691320000000003,1001101111,1001101000,1001101111,ibmq_16_melbourne,8192,0.003087714,3
10,1,21,4,6,32,25.53627753,0.0021691320000000003,0111001011,0001000010,0111001011,ibmq_16_melbourne,8192,0.003117221,4
10,1,21,8,2,32,24.70934033,0.002880812,0001100000,0001000000,0001100000,ibmq_16_melbourne,8192,0.003016277,1
10,1,21,3,7,32,25.06163168,0.002992868,1110111010,0000001010,1110111010,ibmq_16_melbourne,8192,0.0030592809999999996,5
9,1,19,4,5,29,14.93852067,0.002035856,110011001,010000001,110011001,ibmq_16_melbourne,4096,0.0036470999999999995,3
9,1,19,3,6,29,14.57720184,0.002087593,100111110,100100000,100111110,ibmq_16_melbourne,4096,0.003558887,4
9,1,19,3,6,29,14.75330782,0.002014399,111011001,111000011,111011001,ibmq_16_melbourne,4096,0.0036018820000000003,3
9,1,19,6,3,29,14.79332089,0.002075434,010000011,010000011,010000011,ibmq_16_melbourne,4096,0.0036116509999999996,0
9,1,19,6,3,29,14.68864036,0.002100706,110001000,110001000,110001000,ibmq_16_melbourne,4096,0.003586094,0
9,1,19,7,2,29,14.633138899999999,0.002152443,010010000,010000000,010010000,ibmq_16_melbourne,4096,0.0035725440000000004,1
9,1,19,7,2,29,14.74810004,0.0021324160000000003,010100000,010000000,010100000,ibmq_16_melbourne,4096,0.00360061,1
9,1,19,6,3,29,14.64745617,0.002300262,011010000,011010000,011010000,ibmq_16_melbourne,4096,0.003576039,0
9,1,19,3,6,29,14.56031799,0.002235889,110111010,110001000,110111010,ibmq_16_melbourne,4096,0.003554765,3
9,1,19,4,5,29,14.47480488,0.002048016,011010110,000010000,011010110,ibmq_16_melbourne,4096,0.003533888,4
8,1,17,6,2,26,9.543832541,0.002015114,10000001,10000000,10000001,ibmq_16_melbourne,2048,0.004660074,1
8,1,17,3,5,26,9.420101881,0.002408504,10111010,00001010,10111010,ibmq_16_melbourne,2048,0.004599659,3
8,1,17,3,5,26,9.327536345,0.0020205970000000003,01010111,01101111,01010111,ibmq_16_melbourne,2048,0.004554461,3
8,1,17,3,5,26,9.746184826,0.00210762,10101011,10101011,10101011,ibmq_16_melbourne,2048,0.004758879000000001,0
8,1,17,7,1,26,9.023864746000001,0.0021908279999999997,00001000,00001000,00001000,ibmq_16_melbourne,2048,0.0044061840000000005,0
8,1,17,5,3,26,9.508035182999999,0.002071619,00101100,00101100,00101100,ibmq_16_melbourne,2048,0.004642595,0
8,1,17,3,5,26,9.492442131,0.001924515,11001101,11001100,11001101,ibmq_16_melbourne,2048,0.004634982,1
8,1,17,2,6,26,9.200283527,0.002054214,01110111,01010000,01110111,ibmq_16_melbourne,2048,0.004492326,4
8,1,17,2,6,26,9.496039152,0.002078533,10111101,00100000,10111101,ibmq_16_melbourne,2048,0.004636738,5
8,1,17,5,3,26,9.28518939,0.0019454960000000001,11100000,11100000,11100000,ibmq_16_melbourne,2048,0.004533784,0
7,1,15,4,3,23,6.544062853,0.001899004,1010001,1010001,1010001,ibmq_16_melbourne,1024,0.006390686,0
7,1,15,4,3,23,6.693768024,0.001983404,0001011,0001011,0001011,ibmq_16_melbourne,1024,0.006536883,0
7,1,15,3,4,23,6.855181694,0.00201416,1101001,1000001,1101001,ibmq_16_melbourne,1024,0.006694513000000001,2
7,1,15,1,6,23,6.701915026,0.00216341,0111111,0000110,0111111,ibmq_16_melbourne,1024,0.006544839,4
7,1,15,4,3,23,6.6446053979999995,0.0036799909999999996,0100110,0100110,0100110,ibmq_16_melbourne,1024,0.006488872,0
7,1,15,2,5,23,6.713188887,0.002101421,1101101,1101000,1101101,ibmq_16_melbourne,1024,0.006555849,2
7,1,15,5,2,23,6.638051032999999,0.001831532,1000100,1000000,1000100,ibmq_16_melbourne,1024,0.0064824719999999995,1
7,1,15,5,2,23,6.331665039,0.002268314,1000001,1000000,1000001,ibmq_16_melbourne,1024,0.006183266999999999,1
7,1,15,3,4,23,6.752380133,0.001991034,0011101,0011100,0011101,ibmq_16_melbourne,1024,0.006594121,1
7,1,15,4,3,23,6.334234476000001,0.002069473,0100101,0100101,0100101,ibmq_16_melbourne,1024,0.006185776,0
6,1,13,5,1,20,6.574697017999999,0.001743078,000001,000001,000001,ibmq_16_melbourne,1024,0.006420603,0
6,1,13,2,4,20,6.489088297,0.001715183,110011,100111,110011,ibmq_16_melbourne,1024,0.006337,2
6,1,13,2,4,20,6.476510048,0.00184536,111010,001010,111010,ibmq_16_melbourne,1024,0.006324717,2
6,1,13,5,1,20,6.456188678999999,0.001753569,000100,000100,000100,ibmq_16_melbourne,1024,0.0063048719999999996,0
6,1,13,3,3,20,6.662145615,0.001717806,111000,111000,111000,ibmq_16_melbourne,1024,0.0065060019999999994,0
6,1,13,4,2,20,6.692667961000001,0.0018448829999999999,010010,010000,010010,ibmq_16_melbourne,1024,0.006535809,1
6,1,13,4,2,20,6.474333047999999,0.001783848,000011,000010,000011,ibmq_16_melbourne,1024,0.006322591,1
6,1,13,4,2,20,6.540347815,0.001681805,001010,001000,001010,ibmq_16_melbourne,1024,0.006387058,1
6,1,13,3,3,20,6.695399523,0.002498388,110010,110010,110010,ibmq_16_melbourne,1024,0.006538476,0
6,1,13,3,3,20,6.65706706,0.001700163,001110,001110,001110,ibmq_16_melbourne,1024,0.006501041999999999,0
5,1,11,2,3,17,6.212556838999999,0.001531601,11001,11001,11001,ibmq_16_melbourne,1024,0.00606695,0
5,1,11,3,2,17,6.321613312,0.001523495,10001,10000,10001,ibmq_16_melbourne,1024,0.00617345,1
5,1,11,1,4,17,6.4640998839999995,0.001529217,11101,10100,11101,ibmq_16_melbourne,1024,0.006312598000000001,2
5,1,11,4,1,17,6.95260787,0.00153923,01000,01000,01000,ibmq_16_melbourne,1024,0.006789656,0
5,1,11,3,2,17,6.53603816,0.0016293529999999998,00110,00100,00110,ibmq_16_melbourne,1024,0.00638285,1
5,1,11,3,2,17,6.441845655,0.0015659329999999998,00101,00100,00101,ibmq_16_melbourne,1024,0.006290865,1
5,1,11,2,3,17,6.642996073,0.001557112,11010,11010,11010,ibmq_16_melbourne,1024,0.006487301,0
5,1,11,2,3,17,6.6894741060000005,0.002006769,01011,01011,01011,ibmq_16_melbourne,1024,0.00653269,0
5,1,11,4,1,17,6.56793189,0.001645565,00001,00001,00001,ibmq_16_melbourne,1024,0.006413996,0
5,1,11,2,3,17,6.568097353,0.001759529,11100,11100,11100,ibmq_16_melbourne,1024,0.0064141580000000005,0
4,1,9,2,2,14,7.414767503999999,0.0014710429999999998,0101,0101,0101,ibmq_burlington,1024,0.007240984000000001,0
4,1,9,2,2,14,8.653743744,0.001463175,0110,0110,0110,ibmq_burlington,1024,0.008450922,0
4,1,9,1,3,14,7.6899871829999995,0.001594782,1011,1011,1011,ibmq_burlington,1024,0.007509753,0
4,1,9,0,4,14,7.649662495,0.0014693739999999999,1111,1111,1111,ibmq_burlington,1024,0.007470374,0
4,1,9,3,1,14,7.442036152000001,0.001428604,0001,0001,0001,ibmq_burlington,1024,0.007267613000000001,0
4,1,9,3,1,14,8.023906946,0.001529455,1000,1000,1000,ibmq_burlington,1024,0.007835847,0
4,1,9,4,0,14,7.446475982999999,0.001394749,0000,0000,0000,ibmq_burlington,1024,0.007271949000000001,0
4,1,9,2,2,14,7.568663358999999,0.001473665,1001,1001,1001,ibmq_burlington,1024,0.007391273,0
4,1,9,3,1,14,7.500196695,0.001563311,0100,0100,0100,ibmq_burlington,1024,0.007324410999999999,0
4,1,9,1,3,14,7.474771976,0.0014896389999999999,0111,0111,0111,ibmq_burlington,1024,0.007299582,0
3,1,7,1,2,11,7.568272352,0.00130105,110,110,110,ibmq_burlington,1024,0.007390891,0
3,1,7,3,0,11,7.44985795,0.001294374,000,000,000,ibmq_burlington,1024,0.007275251999999999,0
3,1,7,1,2,11,7.3102493289999995,0.001329422,101,101,101,ibmq_burlington,1024,0.007138915,0
3,1,7,1,2,11,7.311197758,0.001339674,011,011,011,ibmq_burlington,1024,0.0071398419999999995,0
3,1,7,2,1,11,7.3789258,0.0014717579999999999,001,001,001,ibmq_burlington,1024,0.007205982,0
3,1,7,2,1,11,7.22521019,0.001319885,010,010,010,ibmq_burlington,1024,0.007055869,0
3,1,7,0,3,11,6.96653676,0.001344919,111,111,111,ibmq_burlington,1024,0.006803259,0
3,1,7,2,1,11,6.994837046000001,0.001297235,100,100,100,ibmq_burlington,1024,0.0068308959999999995,0
2,1,5,0,2,8,7.395781755,0.0012650489999999999,11,11,11,ibmq_burlington,1024,0.007222443,0
2,1,5,2,0,8,6.9910008910000005,0.0012631419999999999,00,00,00,ibmq_burlington,1024,0.006827149,0
2,1,5,1,1,8,7.156071423999999,0.00118494,01,01,01,ibmq_burlington,1024,0.006988350999999999,0
2,1,5,1,1,8,7.467858791,0.001188517,10,10,10,ibmq_burlington,1024,0.007292831,0
1,1,3,1,0,5,7.369405985,0.001098871,0,0,0,ibmq_burlington,1024,0.007196686,0
1,1,3,0,1,5,7.595443487000001,0.00112319,1,1,1,ibmq_burlington,1024,0.007417425,0
